,Random Forest,XGBoost,Logistic Regression,SVM
lineID,0.7129600494798817,0.044396926,0.1313355572452909,0.07278681249530165
pid,0.026215313576457188,0.017524581,1.4985209821432475e-06,7.356488782940178e-07
adFlag,0.011215313067358401,0.23561077,0.4771664068619907,0.16672631044704983
availability,0.00942645013416456,0.14838901,0.4849679650588924,0.24278707873132646
competitorPrice,0.03734826863477321,0.04906947,0.10027269532876208,0.12375586029145764
price,0.03386016439770746,0.037534855,0.16230626407101592,0.08851391767169141
manufacturer,0.018423396146756567,0.023975266,0.00012008372469952657,8.08438350875702e-05
group,0.021910177325891383,0.043012626,0.00036050566849660324,0.00010046451152132454
content,0.016018921022364088,0.033175685,0.00017455035487973873,4.361172464533882e-05
unit,0.0045434867543307274,0.023582885,0.00810596969070105,0.0005527474313755639
pharmForm,0.014591625930078235,0.031614777,0.00012670333837034247,0.00015623297822448974
genericProduct,0.0035850381043584477,0.12726513,0.25062936657347623,0.16944263535901707
salesIndex,0.004310412858817653,0.053221747,0.02836019306956978,0.011331538037053829
category,0.020360609408065798,0.044904668,0.00028183157998589516,0.000179612439375546
rrp,0.022267240053865184,0.026249683,0.10851504979630668,0.1403858535694963
competitorPrice_is_missing,0.0007899856186190494,0.03920572,0.032435874140783624,0.026714382343277773
price_ratio,0.04217354748651043,0.021266226,0.0728778316474498,0.0387768599282918
